NUISANCE_PARAMETERS
NF_ttW_4j_minus  1.11598 +0.257275 -0.25264
NF_ttW_4j_plus  1.21785 +0.17343 -0.169937
NF_ttbar_CO  0.973004 +0.309668 -0.27889
NF_ttbar_HFe  0.682769 +0.223072 -0.211836
NF_ttbar_HFm  0.935909 +0.145546 -0.138889
NF_ttbar_gstr  0.96739 +0.20356 -0.185656
CO_ShapeSyst_simple  -0.0796048 +0.986672 -0.989371
Diboson_4jets  -0.0658059 +0.653081 -0.612246
Diboson_5jets  -0.369494 +0.585098 -0.609892
Diboson_syst_varRF  -0.0134257 +0.999937 -0.999899
EG_SCALE_ALL  0.00783644 +0.999237 -0.999277
FT_EFF_Eigen_B_0__1  -3.00437e-07 +1 -1
FT_EFF_Eigen_B_1__1  -1.87172e-07 +1 -1
FT_EFF_Eigen_B_2__1  0.00104992 +0.999817 -0.999831
FT_EFF_Eigen_B_3__1  -8.46498e-06 +0.999999 -0.999997
FT_EFF_Eigen_B_4__1  1.60109e-07 +1 -1
FT_EFF_Eigen_B_6__1  6.33406e-06 +1 -1
FT_EFF_Eigen_B_7__1  -9.88791e-06 +1 -0.999999
FT_EFF_Eigen_Light_0__1  0.00385595 +0.99996 -1.00001
FT_EFF_Eigen_Light_1__1  -0.00736537 +1.00011 -0.999873
FT_EFF_Eigen_Light_2__1  0 +1 -1
Gstr_ShapeSyst_simple  -0.0198742 +0.999808 -0.999644
JET_BJES_Response  1.8175e-05 +1 -1
JET_EffectiveNP_Detector1  -2.59597e-06 +1 -1
JET_EffectiveNP_Mixed2  2.59597e-06 +1 -1
JET_EffectiveNP_Mixed3  -2.59597e-06 +1 -1
JET_EffectiveNP_Modelling1  0.00327787 +0.999977 -1
JET_EffectiveNP_Modelling2  2.59597e-06 +1 -1
JET_EffectiveNP_Modelling3  -2.59597e-06 +1 -1
JET_EffectiveNP_Statistical2  2.55035e-06 +1 -1
JET_EffectiveNP_Statistical5  -2.59597e-06 +1 -1
JET_EtaIntercalibration_Modelling  -0.00149551 +1.00005 -0.999898
JET_EtaIntercalibration_NonClosure_PreRec  0.00958497 +0.999934 -0.999935
JET_EtaIntercalibration_TotalStat  0.000940896 +0.999995 -1.00001
JET_Flavor_Composition_Bkg  0.00958399 +0.999241 -0.999254
JET_Flavor_Response  0.00103632 +0.999546 -0.999866
JET_InSitu_NonClosure_PreRec  -0.00183249 +0.999193 -0.999064
JET_JERUnc_Noise_PreRec  0.0148202 +0.997149 -1.00361
JET_JERUnc_Noise_PreRec_PseudoData  -0.0177926 +0.999464 -0.998603
JET_JER_DataVsMC_MC16  -0.00128579 +1.00007 -0.999853
JET_JER_DataVsMC_MC16_PseudoData  0.00297172 +0.999862 -1.0001
JET_JER_EffectiveNP_1  0.0094269 +0.999542 -1.00039
JET_JER_EffectiveNP_10  -0.00612248 +1.00026 -0.999713
JET_JER_EffectiveNP_10_PseudoData  -0.000719199 +0.99972 -0.999692
JET_JER_EffectiveNP_11  -0.00197335 +1.00008 -0.999875
JET_JER_EffectiveNP_11_PseudoData  -3.50532e-05 +0.999468 -0.999476
JET_JER_EffectiveNP_12restTerm  0.000830367 +0.999994 -1.00001
JET_JER_EffectiveNP_12restTerm_PseudoData  -0.000639816 +0.999711 -0.999714
JET_JER_EffectiveNP_1_PseudoData  -0.00256585 +0.999691 -0.999511
JET_JER_EffectiveNP_2  -0.0108346 +1.00335 -0.997266
JET_JER_EffectiveNP_2_PseudoData  0.0184867 +0.996558 -1.00367
JET_JER_EffectiveNP_3  -0.00710607 +1.00025 -0.999672
JET_JER_EffectiveNP_3_PseudoData  0.00248963 +0.99921 -0.999544
JET_JER_EffectiveNP_4  0.0153647 +0.996707 -1.00352
JET_JER_EffectiveNP_4_PseudoData  -0.0168408 +1.00333 -0.996523
JET_JER_EffectiveNP_5  -0.00872452 +1.00039 -0.999588
JET_JER_EffectiveNP_5_PseudoData  -0.000104784 +0.999704 -0.999716
JET_JER_EffectiveNP_6  -0.00156843 +1.00007 -0.999859
JET_JER_EffectiveNP_6_PseudoData  0.000926943 +0.999332 -0.999465
JET_JER_EffectiveNP_7  -0.000177236 +1 -0.999999
JET_JER_EffectiveNP_7_PseudoData  0.000792822 +0.999665 -0.999701
JET_JER_EffectiveNP_8  0.001441 +0.999956 -0.999998
JET_JER_EffectiveNP_8_PseudoData  -0.00353848 +0.999687 -0.999554
JET_JER_EffectiveNP_9  0.00362534 +0.999856 -1.0001
JET_JER_EffectiveNP_9_PseudoData  -0.000776268 +0.99971 -0.999713
JET_JESUnc_Noise_PreRec  0.00364607 +0.999946 -1.00003
JET_JESUnc_VertexingAlg_PreRec  0.0123032 +0.999691 -0.999765
JET_NNJvtEfficiency  -6.39028e-05 +0.999945 -0.999939
JET_Pileup_OffsetMu  0.00128891 +0.999952 -1.00003
JET_Pileup_OffsetNPV  0.00192817 +0.999932 -1.00002
JET_Pileup_PtTerm  0.00073622 +0.999996 -1.00001
JET_Pileup_RhoTopology  0.00643069 +0.999341 -0.999293
JET_RelativeNonClosure_AF3  9.83782e-07 +1 -1
MUON_CB  -5.34909e-06 +1 -1
MUON_EFF_ISO_SYS  2.19224e-07 +1 -1
Other_truthgbb_3b  -0.000329483 +0.998984 -0.998996
Other_truthgbb_4b  -0.000393691 +0.999179 -0.999206
PRW_DATASF  -0.00194088 +0.999985 -0.999811
VV_truthgbb_3b  -0.157286 +0.986824 -0.970143
VV_truthgbb_4b  0.0125835 +0.997586 -0.997956
others_Xsec  -0.0264485 +1.0006 -0.997424
singleTop_Xsec  -0.129915 +0.998859 -0.98342
ttH_Gen  0.0568358 +0.997955 -0.997595
ttH_PS  0.105489 +0.993425 -0.991048
ttH_Xsec  -0.00221848 +0.983769 -0.983209
ttH_syst_varRF  -5.23231e-05 +0.99464 -0.994918
ttH_truthgbb_3b  -0.000377304 +0.997186 -0.99709
ttH_truthgbb_4b  -0.000272159 +0.99847 -0.998446
ttWW_Xsec  0.045689 +0.991313 -0.991866
ttW_syst_varRF  1.36429e-05 +0.999988 -0.99999
ttW_truthgbb_3b  -0.000876879 +0.997822 -0.997817
ttW_truthgbb_4b  -0.000919035 +0.995255 -0.995561
ttZ_Gen  0.42012 +0.800924 -0.901011
ttZ_Xsec  -0.0315956 +0.984273 -0.98336
ttZ_high_mll_syst_MUR05_MUF05  0.0143502 +0.996194 -0.99645
ttZ_low_mll_syst_MUR05_MUF05  0.000718562 +0.999973 -0.999968
ttZ_low_mll_syst_MUR05_MUF1  -0.00146619 +0.999964 -0.999969
ttZ_low_mll_syst_MUR1_MUF05  0.00158664 +0.999996 -0.999994
ttZ_low_mll_syst_MUR1_MUF2  -0.00209492 +0.999998 -0.999998
ttZ_low_mll_syst_MUR2_MUF1  0.00169172 +0.999992 -0.999996
ttZ_low_mll_syst_MUR2_MUF2  0.000360107 +0.999986 -0.999992
ttZ_truthgbb_3b  -0.000226008 +0.996883 -0.996738
ttZ_truthgbb_4b  -0.000334233 +0.998463 -0.998439
ttt_Xsec  -0.00209549 +0.999503 -0.999416
ttt_truthgbb_4b  -0.000208738 +0.999638 -0.99964
tttt_Gen  -0.0165069 +0.963559 -0.961486
tttt_Xsec  -0.00350135 +0.95852 -0.955135
tttt_syst_PS  -0.0158113 +0.999139 -0.998912
tttt_syst_varRF  0.00215941 +0.999954 -0.999947
gamma_stat_CR1b3le_lep_2_pt_bin_0  1.0016 +0.0350224 -0.0341931
gamma_stat_CR1b3le_lep_2_pt_bin_1  0.999599 +0.0728099 -0.0694265
gamma_stat_CR1b3lm_lep_2_pt_bin_0  1.00195 +0.0274759 -0.0269871
gamma_stat_CR1b3lm_lep_2_pt_bin_1  0.987678 +0.0493146 -0.0477173
gamma_stat_CR1bminus_nJets_bin_0  0.998867 +0.0205784 -0.0202946
gamma_stat_CR1bminus_nJets_bin_1  0.996498 +0.0215273 -0.0212071
gamma_stat_CR1bminus_nJets_bin_2  1.01117 +0.0262449 -0.0257765
gamma_stat_CR1bminus_nJets_bin_3  0.999088 +0.0363341 -0.0354612
gamma_stat_CR1bminus_nJets_bin_4  0.985239 +0.0597493 -0.0573954
gamma_stat_CR1bminus_nJets_bin_5  0.95045 +0.129931 -0.118982
gamma_stat_CR1bminus_nJets_bin_6  0.920015 +0.271673 -0.225838
gamma_stat_CR1bplus_nJets_bin_0  1.00001 +0.0181184 -0.0179071
gamma_stat_CR1bplus_nJets_bin_1  0.996957 +0.0187562 -0.0185144
gamma_stat_CR1bplus_nJets_bin_2  0.995854 +0.0233241 -0.0229547
gamma_stat_CR1bplus_nJets_bin_3  1.00815 +0.0344345 -0.0336606
gamma_stat_CR1bplus_nJets_bin_4  1.05291 +0.0693602 -0.0664735
gamma_stat_CR1bplus_nJets_bin_5  1.06856 +0.177487 -0.159464
gamma_stat_CR1bplus_nJets_bin_6  0.767036 +0.278835 -0.220365
gamma_stat_CRttW2l_minus_nJets_bin_0  1.00344 +0.0200602 -0.019782
gamma_stat_CRttW2l_minus_nJets_bin_1  0.997869 +0.0207536 -0.0204595
gamma_stat_CRttW2l_minus_nJets_bin_2  0.996612 +0.0410484 -0.0399408
gamma_stat_CRttW2l_plus_nJets_bin_0  0.999916 +0.0156123 -0.0154561
gamma_stat_CRttW2l_plus_nJets_bin_1  1.00089 +0.0171919 -0.0169957
gamma_stat_CRttW2l_plus_nJets_bin_2  0.990969 +0.0374078 -0.0364779
gamma_stat_CRttbarCO2l_CO_1_bin_0  1.00045 +0.0206569 -0.0203515
gamma_stat_CRttbarCO2l_gstr_1_bin_0  1.00101 +0.0434706 -0.0422864
gamma_stat_SR2b2l_HT_all_bin_0  1.00001 +0.0166949 -0.0165138
gamma_stat_SR2b2l_HT_all_bin_1  1.00001 +0.0165193 -0.0163427
gamma_stat_SR2b2l_HT_all_bin_2  1 +0.016847 -0.0166635
gamma_stat_SR2b2l_HT_all_bin_3  1 +0.014956 -0.0148108
gamma_stat_SR2b3l4l_HT_all_bin_0  1 +0.0374079 -0.0364965
gamma_stat_SR2b3l4l_HT_all_bin_1  1 +0.0339682 -0.0332165
gamma_stat_SR2b3l4l_HT_all_bin_2  0.999998 +0.0235248 -0.0231618
gamma_stat_SR3b2l_HT_all_bin_0  1 +0.0346968 -0.0339088
gamma_stat_SR3b2l_HT_all_bin_1  0.999999 +0.029541 -0.0289704
gamma_stat_SR3b2l_HT_all_bin_2  0.999998 +0.024138 -0.0237578
gamma_stat_SR3b2l_HT_all_bin_3  0.999996 +0.0205057 -0.0202323
gamma_stat_SR3b3l4l_HT_all_bin_0  0.999998 +0.0433952 -0.0421734
gamma_stat_SR3b3l4l_HT_all_bin_1  0.999994 +0.0271198 -0.026639
gamma_stat_SR4b_HT_all_bin_0  1 +0.0304213 -0.0298191
gamma_stat_SR4b_HT_all_bin_1  0.999997 +0.0107917 -0.0107156
mu_signal  0.00213623 +0.178943 -0.166018
scaling_a  0.441352 +0.10797 -0.107115
scaling_b  0.346431 +0.2391 -0.232001


CORRELATION_MATRIX
153   153
